Term,Notes,,,,,,,,,,,,,,,,,
Admiral grande,,,,,,,,,,,,,,,,,,
ağa,,,,,,,,,,,,,,,,,,
ak ağa,,,,,,,,,,,,,,,,,,
akıncı,,,,,,,,,,,,,,,,,,
arabacı,,,,,,,,,,,,,,,,,,
Armata,,,,,,,,,,,,,,,,,,
arpa eminliği,,,,,,,,,,,,,,,,,,
Arsenale,,,,,,,,,,,,,,,,,,
aşçi,,,,,,,,,,,,,,,,,,
asitane-i saadet,,,,,,,,,,,,,,,,,,
at meydanı,,,,,,,,,,,,,,,,,,
at oğlan,,,,,,,,,,,,,,,,,,
avcı,,,,,,,,,,,,,,,,,,
Avogadria di Comun,Use for: AdC; Avogadori di Comun,,,,,,,,,,,,,,,,,
ayan,,,,,,,,,,,,,,,,,,
azab,,,,,,,,,,,,,,,,,,
bab-ı asafi,,,,,,,,,,,,,,,,,,
Bagno,,,,,,,,,,,,,,,,,,
Bailaggio,Use for: URB; Bailo a Costantinopoli,,,,,,,,,,,,,,,,,
baltacı,,,,,,,,,,,,,,,,,,
balyos,,,,,,,,,,,,,,,,,,
baruthane,,,,,,,,,,,,,,,,,,
başdefterdarlık,,,,,,,,,,,,,,,,,,
baylosluk,,,,,,,,,,,,,,,,,,
beylerbeylik,,,,,,,,,,,,,,,,,,
beylik,,,,,,,,,,,,,,,,,,
beytülmal,,,,,,,,,,,,,,,,,,
büyük odalar,,,,,,,,,,,,,,,,,,
Camera dei Confini,,,,,,,,,,,,,,,,,,
Camerlenghi di Comun,Use for: CdC,,,,,,,,,,,,,,,,,
Cancelleria Criminale,,,,,,,,,,,,,,,,,,
Cancelleria Ducale,,,,,,,,,,,,,,,,,,
Cancelleria Grande,,,,,,,,,,,,,,,,,,
Cancelleria Inferiore,,,,,,,,,,,,,,,,,,
Capitanato,,,,,,,,,,,,,,,,,,
Capitanato generale,,,,,,,,,,,,,,,,,,
Capitanato generale da mar,,,,,,,,,,,,,,,,,,
Capitanato generale da terra,,,,,,,,,,,,,,,,,,
Capitanato generale in Golfo,Use for: Capitanato generale del Golfo,,,,,,,,,,,,,,,,,
Capitanato in Golfo,Use for: Capitanato del Golfo,,,,,,,,,,,,,,,,,
Cattaver,,,,,,,,,,,,,,,,,,
çavuş,,,,,,,,,,,,,,,,,,
cerrah,,,,,,,,,,,,,,,,,,
çiftlik,,,,,,,,,,,,,,,,,,
çiftçi,,,,,,,,,,,,,,,,,,
çırak,,,,,,,,,,,,,,,,,,♥
Consiglio dei Dieci,,,,,,,,,,,,,,,,,,
Consolato,,,,,,,,,,,,,,,,,,
çorbacı,,,,,,,,,,,,,,,,,,
çuhadar,,,,,,,,,,,,,,,,,,
darphane,,,,,,,,,,,,,,,,,,
darphane emini,,,,,,,,,,,,,,,,,,
dayı,,,,,,,,,,,,,,,,,,
defterdar,,,,,,,,,,,,,,,,,,
defterhane,,,,,,,,,,,,,,,,,,
dellal,,,,,,,,,,,,,,,,,,
dergah-ı muallam,,,,,,,,,,,,,,,,,,
deveci,,,,,,,,,,,,,,,,,,
Dieci savi alle decime in Rialto,,,,,,,,,,,,,,,,,,
Dieci uffici,,,,,,,,,,,,,,,,,,
