import_id,title,archival_path,page_total,archival_id
ArchivalObject001,,"AdC, Misc. Civil box 235, fascicle 2",,Venetian State Archives,,,,,,,
ArchivalObject002,,"AdC, Misc. Civil box 260, fascicle 20",,Venetian State Archives,,,,,,,
ArchivalObject003,,"AdC, Misto box 3015, fascicle 7",,Venetian State Archives,,,,,,,
ArchivalObject004,,"Alberi, Relazioni box  fascicle I",,Venetian State Archives,,,,,,,
ArchivalObject005,,"Alberi, Relazioni box  fascicle II",,Venetian State Archives,,,,,,,
ArchivalObject006,,"Bailo a Costantinopoli, Busta 250 Fascicolo 330",,Venetian State Archives,,,,,,,
ArchivalObject007,,"Bailo a Costantinopoli, Busta 250 Fascicolo 331",,Venetian State Archives,,,,,,,
ArchivalObject008,,"Bailo a Costantinopoli, Busta 250 Fascicolo 332",,Venetian State Archives,,,,,,,
ArchivalObject009,,"Bailo a Costantinopoli, Busta 250, Fascicolo 330",,Venetian State Archives,,,,,,,
ArchivalObject010,,"Bailo a Costantinopoli, Busta 250, Fascicolo 331",,Venetian State Archives,,,,,,,
ArchivalObject011,,"Bailo a Costantinopoli, Busta 250, Fascicolo 332",,Venetian State Archives,,,,,,,
ArchivalObject012,,"Bailo a Costantinopoli, Busta 251, Fascicolo 334",,Venetian State Archives,,,,,,,
ArchivalObject013,,"Bailo a Costantinopoli, Busta 251, Fascicolo 335",,Venetian State Archives,,,,,,,
ArchivalObject014,,"Bailo a Costantinopoli, Busta 251, Fascicolo 336",,Venetian State Archives,,,,,,,
ArchivalObject015,,"Bailo a Costantinopoli, Busta 251, Fascicolo 337",,Venetian State Archives,,,,,,,
ArchivalObject016,,"Bailo a Costantinopoli, Busta 252, Fascicolo 10",,Venetian State Archives,,,,,,,
ArchivalObject017,,"Bailo a Costantinopoli, Busta 252, Fascicolo 338",,Venetian State Archives,,,,,,,
