source_doc_id,doc2doc_id,target_doc_id,role,reported_date,reported_date_text,reported_date_type,glossed_date,glossed_date_type,cataloguer_date
doc_italian_001,relateddocdate001,,,1613-03-08,3/8/1613,Gregorian,ca. 01/15/1022,Hijri,
doc_italian_002,relateddocdate002,,,1613-03-08,ca. 03/08/1613,Gregorian,ca. 01/05/1022,Hijri,
doc_italian_003,relateddocdate003,,,1612-05-15,ca. 05/15/1612,Gregorian,c. 02/25/1021,Hijri,
doc_italian_004,relateddocdate004,,,1612-06-15,ca. 06/15/1612,Gregorian,ca. 04/15/1021,Hijri,
doc_italian_005,relateddocdate005,,,1613-03-09,ca. 03/09/1613,Gregorian,ca. 02/15/1022,Hijri,
doc_italian_006,relateddocdate006,,,1613-03-09,ca. 03/09/1613,Gregorian,ca. 01/15/1022,Hijri,
doc_italian_007,relateddocdate007,,,1589-02-19,2/19/1589,Gregorian,0998-04-13,Hijri,
doc_italian_008,relateddocdate008,,,1614-09-15,ca. 09/15/1614,Gregorian,ca. 07/15/1023,Hijri,
doc_italian_009,relateddocdate009,,,1590-12-23,c. 12/23/1590,Gregorian,c. 02/25/999,Hijri,
doc_italian_010,relateddocdate010,,,1590-07-06,7/6/1590,Gregorian,c. 09/01/998,Hijri,
doc_italian_011,relateddocdate011,,,1590-07-03,c. 07/03/1590,Gregorian,c. 09/01/998,Hijri,
doc_italian_012,relateddocdate012,,,1590-07-11,c. 07/11/1590,Gregorian,0998-09-06,Hijri,
doc_italian_013,relateddocdate013,,,1590-06-08,6/8/1590,Gregorian,c. 08/01/998,Hijri,
doc_italian_014,relateddocdate014,,,1590-06-08,6/8/1590,Gregorian,c. 08/01/998,Hijri,
doc_italian_015,relateddocdate015,,,1590-06-08,c. 06/08/1590,Gregorian,c. 08/01/998,Hijri,
doc_italian_016,relateddocdate016,,,1590-06-08,ca. 06/08/1590,Gregorian,ca. 08/05/998,Hijri,
doc_italian_017,relateddocdate017,,,1590-06-08,6/8/1590,Gregorian,c. 08/01/998,Hijri,
doc_italian_018,relateddocdate018,,,1590-06-08,6/8/1590,Gregorian,c. 08/01/998,Hijri,
doc_italian_019,relateddocdate019,,,1590-06-18,6/18/1590,Gregorian,c. 08/15/998,Hijri,
doc_italian_020,relateddocdate020,,,1590-07-15,c. 07/15/1590,Gregorian,0998-09-10,Hijri,
doc_italian_021,relateddocdate021,,,1593-08-10,ca. 08/10/1593,Gregorian,ca. 11/05/1001,Hijri,
doc_italian_022,relateddocdate022,,,1590-06-08,6/8/1590,Gregorian,c. 08/01/998,Hijri,
doc_italian_023,relateddocdate023,,,1904-05-09,[1591],Gregorian,,,
doc_italian_024,relateddocdate024,,,1590-08-20,c. 08/20/1590,Gregorian,c. 10/19/998,Hijri,
doc_italian_025,relateddocdate025,,,1611-08-05,[ca. 08/05/1611],Gregorian,ca. 05/25/1020,Hijri,
doc_italian_026,relateddocdate026,,,1590-06-08,6/8/1590,Gregorian,c. 08/01/998,Hijri,
doc_italian_027,relateddocdate027,,,1590-06-08,6/8/1590,Gregorian,c. 08/01/998,Hijri,
doc_italian_028,relateddocdate028,,,1590-06-08,6/8/1590,Gregorian,c. 08/01/998,Hijri,
doc_italian_029,relateddocdate029,,,1590-06-08,6/8/1590,Gregorian,c. 08/01/998,Hijri,
doc_italian_030,relateddocdate030,,,,,,,,
doc_italian_031,relateddocdate031,,,1671-12-14,12/14/1671,Gregorian,1082-08-15,Hijri,
doc_italian_032,relateddocdate032,,,1672-10-26,10/26/1672,Gregorian,1083-07-05,Hijri,
doc_italian_033,relateddocdate033,,,1630-08-25,ca. 08/25/1630,Gregorian,ca. 01/25/1040,Hijri,
doc_italian_034,relateddocdate034,,,1631-09-02,c. 09/02/1631,Gregorian,c. 02/05/1041,Hijri,
doc_italian_035,relateddocdate035,,,1626-09-05,ca. 09/05/1626,Gregorian,ca. 12/15/1035,Hijri,
doc_italian_036,relateddocdate036,,,1630-09-03,c. 09/03/1630,Gregorian,c. 01/25/1040,Hijri,
doc_italian_037,relateddocdate037,,,1623-11-18,[ca. 11/18/1623],ca. 01/25/1033,Gregorian//,,
doc_italian_038,relateddocdate038,,,1623-10-05,ca. 10/05/1623,Gregorian,ca. 12/05/1032,Hijri,
doc_italian_039,relateddocdate039,,,1630-06-26,c.06/26/1630,Gregorian,c.11/15/1039,Hijri,
doc_italian_040,relateddocdate040,,,1631-06-15,ca. 06/15/1631,Gregorian,ca. 11/15/1040,Hijri,
doc_italian_041,relateddocdate041,,,1630-09-03,c. 09/03/1630,Gregorian,c. 01/25/1040,Hijri,
doc_italian_042,relateddocdate042,,,1622-08-08,8/8/1622,Gregorian,1031-10-07,Hijri,
doc_italian_043,relateddocdate043,,,1613-02-15,[ca. 02/15/1613],Gregorian,[ca. 12/15/1022],Hijri,
doc_italian_044,relateddocdate044,,,1626-02-20,ca. 02/20/1626 [av],Gregorian,1036-06-04,Hijri,
doc_italian_045,relateddocdate045,,,1590-10-28,10/28/1590,Gregorian,,,
doc_italian_046,relateddocdate046,,,1622-05-07,ca. 05/07/1622,Gregorian,ca. 06/25/1031,Hijri,
doc_italian_047,relateddocdate047,,,1622-02-23,2/23/1622,Gregorian,[04/22/1032],Hijri,
doc_italian_048,relateddocdate048,,,1622-02-16,2/16/1622,Gregorian,1031-06-05,Hijri,
doc_italian_049,relateddocdate049,,,1621-03-05,3/5/1621,Gregorian,1030-04-21,Hijri,
doc_italian_050,relateddocdate050,,,1624-02-26,ca 02/26/1624,Gregorian,1033-05-06,Hijri,
doc_italian_051,relateddocdate051,,,1625-02-21,02/21/1625 mv,Gregorian,1035-05-24,Hijri,
doc_italian_052,relateddocdate052,,,1625-07-05,ca. 07/05/1625,Gregorian,1034-09-26,Hijri,
doc_italian_053,relateddocdate053,,,1904-05-22,[ca. 1604-1605],Gregorian,,,
doc_italian_054,relateddocdate054,,,1904-07-27,"[n.d., 1670?]",Gregorian,,,
doc_italian_055,relateddocdate055,,,1593-07-05,[ca.07/05/1593],Gregorian,ca. 10/05/1001,Hijri,
