doc_id,doc2genre_id,genre,notes
Carte_Turche_01,genredoc0001,hükm,
Carte_Turche_02,genredoc0002,hükm,
Carte_Turche_03,genredoc0003,hükm,
Carte_Turche_04,genredoc0004,hükm,
Carte_Turche_05,genredoc0005,hükm,
Carte_Turche_06,genredoc0006,hükm,
Carte_Turche_07,genredoc0007,hükm,
Carte_Turche_08,genredoc0008,hükm,
Carte_Turche_09,genredoc0009,hükm,
Carte_Turche_10,genredoc0010,hükm,
Carte_Turche_100,genredoc0011,mektub,
Carte_Turche_101,genredoc0012,hükm,
Carte_Turche_102,genredoc0013,hükm,
Carte_Turche_103,genredoc0014,hükm,
Carte_Turche_104,genredoc0015,hükm,
Carte_Turche_105,genredoc0016,hükm,
Carte_Turche_106,genredoc0017,hükm,
Carte_Turche_107,genredoc0018,hükm,
Carte_Turche_108,genredoc0019,hükm,
Carte_Turche_109,genredoc0020,hükm,
Carte_Turche_11,genredoc0021,hükm,
Carte_Turche_110,genredoc0022,hükm,
Carte_Turche_111,genredoc0023,hükm,
Carte_Turche_112,genredoc0024,hükm,
Carte_Turche_113,genredoc0025,hükm,
Carte_Turche_114,genredoc0026,hükm,
Carte_Turche_115,genredoc0027,hükm,
Carte_Turche_116,genredoc0028,hükm,
Carte_Turche_117,genredoc0029,hükm,
Carte_Turche_118,genredoc0030,hükm,
Carte_Turche_119,genredoc0031,hükm,
Carte_Turche_12,genredoc0032,hükm,
Carte_Turche_120,genredoc0033,hükm,
Carte_Turche_121,genredoc0034,hükm,
Carte_Turche_122,genredoc0035,hükm,
Carte_Turche_123,genredoc0036,hükm,
Carte_Turche_124,genredoc0037,hükm,
Carte_Turche_125,genredoc0038,hükm,
Carte_Turche_126,genredoc0039,hükm,
Carte_Turche_127,genredoc0040,hükm,
Carte_Turche_128,genredoc0041,temessük,
Carte_Turche_129,genredoc0042,hükm,
Carte_Turche_13,genredoc0043,hükm,
Carte_Turche_130,genredoc0044,hükm,
Carte_Turche_131,genredoc0045,hükm,
Carte_Turche_132,genredoc0046,hükm,
Carte_Turche_133,genredoc0047,mektub,
Carte_Turche_134,genredoc0048,hükm,
Carte_Turche_135,genredoc0049,hükm,
Carte_Turche_136,genredoc0050,hükm,
Carte_Turche_137,genredoc0051,mektub,
Carte_Turche_138,genredoc0052,hükm,
Carte_Turche_139,genredoc0053,hükm,
Carte_Turche_14,genredoc0054,hükm,
Carte_Turche_140,genredoc0055,hükm,
Carte_Turche_141,genredoc0056,hükm,
Carte_Turche_142,genredoc0057,mektub,
Carte_Turche_143,genredoc0058,hükm,
Carte_Turche_144,genredoc0059,hükm,
Carte_Turche_145,genredoc0060,hükm,
Carte_Turche_146,genredoc0061,hükm,
Carte_Turche_147,genredoc0062,hükm,
Carte_Turche_148,genredoc0063,hükm,
Carte_Turche_149,genredoc0064,hükm,
Carte_Turche_15,genredoc0065,hükm,
Carte_Turche_150,genredoc0066,hükm,
