doc_id,doc2people_id,person_display_name,role,person_id
Carte_Turche_01,PersonDocumentRelation0001,Bar Kadısı,Addressee,Person_522
Carte_Turche_103,PersonDocumentRelation0002,Haleb Kadısı,Addressee,Person_554
Carte_Turche_104,PersonDocumentRelation0003,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_104,PersonDocumentRelation0004,Haleb Kadısı,Addressee,Person_554
Carte_Turche_105,PersonDocumentRelation0005,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_105,PersonDocumentRelation0006,Haleb Kadısı,Addressee,Person_554
Carte_Turche_108,PersonDocumentRelation0007,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_110,PersonDocumentRelation0008,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_110,PersonDocumentRelation0009,Haleb Kadısı,Addressee,Person_554
Carte_Turche_113,PersonDocumentRelation0010,Sakız Kadısı,Addressee,Person_490
Carte_Turche_120,PersonDocumentRelation0011,Ahmed kethüda,Mentioned,Person_464
Carte_Turche_126,PersonDocumentRelation0012,Anton Filipo,Undefined,Person_510
Carte_Turche_126,PersonDocumentRelation0013,Cevan Anton,Mentioned,Person_547
Carte_Turche_13,PersonDocumentRelation0014,Janissaries,Mentioned,Person_403
Carte_Turche_130,PersonDocumentRelation0015,Adreya Alessi,Undefined,Person_450
Carte_Turche_130,PersonDocumentRelation0016,Aleksander Linkermeko,Undefined,Person_474
Carte_Turche_130,PersonDocumentRelation0017,Anderya Gadanni,Undefined,Person_504
Carte_Turche_135,PersonDocumentRelation0018,Arabacı Mustafa,Mentioned,Person_514
Carte_Turche_135,PersonDocumentRelation0019,Ayamavralu Murad,Undefined,Person_518
Carte_Turche_136,PersonDocumentRelation0020,Arabacı Mustafa,Mentioned,Person_514
Carte_Turche_136,PersonDocumentRelation0021,Ayamavralu Murad,Undefined,Person_518
Carte_Turche_137,PersonDocumentRelation0022,Anton Filipo,Undefined,Person_510
Carte_Turche_137,PersonDocumentRelation0023,Cevan Anton,Mentioned,Person_547
Carte_Turche_14,PersonDocumentRelation0024,Janissaries,Mentioned,Person_403
Carte_Turche_14,PersonDocumentRelation0025,Haleb Kadısı,Addressee,Person_554
Carte_Turche_149,PersonDocumentRelation0026,Anton Donado,Mentioned,Person_509
Carte_Turche_15,PersonDocumentRelation0027,Ahmed,Mentioned,Person_456
Carte_Turche_15,PersonDocumentRelation0028,Haleb Kadısı,Addressee,Person_554
Carte_Turche_152,PersonDocumentRelation0029,Sakız Kadısı,Addressee,Person_490
Carte_Turche_152,PersonDocumentRelation0030,Simon Konsarin,Mentioned,Person_489
Carte_Turche_153,PersonDocumentRelation0031,Simon Konsarin,Mentioned,Person_489
Carte_Turche_157,PersonDocumentRelation0032,Anderya Gadanni,Mentioned,Person_504
Carte_Turche_158,PersonDocumentRelation0033,Anderya Gadanni,Undefined,Person_504
Carte_Turche_163,PersonDocumentRelation0034,,Mentioned,Person_450
Carte_Turche_163,PersonDocumentRelation0035,,Mentioned,Person_504
Carte_Turche_167,PersonDocumentRelation0036,Anderya Gadanni,Undefined,Person_504
Carte_Turche_170,PersonDocumentRelation0037,Sakız Kadısı,Addressee,Person_490
Carte_Turche_173,PersonDocumentRelation0038,Anton Donado,Mentioned,Person_509
Carte_Turche_174,PersonDocumentRelation0039,Haleb Kadısı,Addressee,Person_554
Carte_Turche_177,PersonDocumentRelation0040,Ahmed Paşa,Mentioned,Person_466
Carte_Turche_185,PersonDocumentRelation0041,Abraham,Mentioned,Person_443
Carte_Turche_186,PersonDocumentRelation0042,Delvine Kadısı,Addressee,Person_550
Carte_Turche_187,PersonDocumentRelation0043,Delvine Kadısı,Addressee,Person_550
Carte_Turche_19,PersonDocumentRelation0044,Haleb Kadısı,Addressee,Person_554
Carte_Turche_198,PersonDocumentRelation0045,Sakız Kadısı,Addressee,Person_490
Carte_Turche_21,PersonDocumentRelation0046,Cristoforo di Bonà,Undefined,Person_406
Carte_Turche_21,PersonDocumentRelation0047,Haleb Kadısı,Addressee,Person_554
Carte_Turche_220,PersonDocumentRelation0048,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_220,PersonDocumentRelation0049,Haleb Kadısı,Addressee,Person_554
Carte_Turche_222,PersonDocumentRelation0050,Haleb Defterdarı,Addressee,Person_553
Carte_Turche_237,PersonDocumentRelation0051,Delvine Kadısı,Addressee,Person_550
Carte_Turche_245,PersonDocumentRelation0052,Haleb Defterdarı,Addressee,Person_553
