document_id,title,page,languages,english_summary,transcription,transliteration,date,date_text,date_type,places,topics,agencies,related_objects,notes,related_people,related_document,genre
Carte_Turche_01,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 330 Page  15",15,Ottoman,Order sent upon the request of the Venetian bailo regarding a group of ships (kad€±rga) belonging to the Venetians that crushed near the harbor of Boyana. Ships and the things that were inside confiscated by the Ottoman officials are requested to be handed over either to bey of Kotor or his men that have been sent.,,,1590-03-20,,Gregorian,€¡skenderiye;Bar;ÌÏlgÌ_n,ahdname,€¡skenderiye Sancakbeyi;€¡skenderiye Mukataa mÌ_fettiÙi;ÌÏlgÌ_n Kad€±s€±;Bar Kad€±s€±;Venedik balyosu,ArchivalObject009, The original Related Person Notes read:(Addressee)€¡skenderiye Mukataa mÌ_fettiÙi -(Sender)Porte -(Addressee)ÌÏlgÌ_n Kad€±s€± -,PersonDocumentRelation0001,,genredoc0001
Carte_Turche_02,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 330 Page  14",14,Ottoman,Order sent to the Bosnia Beylerbeyi upon the request of the Venetian bailo in €¡stanbul regarding the sancaq bey of Lika (K€±rka) in Bosnia who befriended with Uskok corsair Georgy and collaborated with the Uskoks. Beylerbeyi is ordered to investigate this issue and prevent any state officials from engaging in such activities.,,,1590-03-28,Evahir-i CemaziÌ_‰Ûªl-evvel 998:Evahir,Hijri,Bosna;Lika,corsairs,Bosna Beylerbeyi;Venedik Balyosu,ArchivalObject009, The original Related Person Notes read:(Sender)Porte -,,,genredoc0002
Carte_Turche_03,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 330 Page  13",13,Ottoman,"Order sent to the Cezair Beylerbeyi and sancak beyi of Karl€±ili upon the request of the Venetian bailo in €¡stanbul regarding the corsairs attacking the Venetian subjects and Ottomans as well in the Mediterranean. Although some Muslims saved by the Venetians were handed over to local officials in Morea, there were reports that some of them are still collaborating with the corsairs and causing problems. Ottoman magistracies are ordered to stop them.",,,1590-03-22,Evas€±t-€± CemaziÌ_levvel 998:Evasit,Hijri,Ayamavra;Mora,corsairs,Cezayir Beylerbeyi;Karl€±ili Sancakbeyi;Venedik Balyosu,ArchivalObject009, The original Related Person Notes read:(Mentioned)Corci (Georgy-Uskok corsair) -€¡brahim (Lika sancak beyi) -(Addressee)Karl€±ili Sancakbeyi -(Sender)Porte -,,,genredoc0003
Carte_Turche_04,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 330 Page  12",12,Ottoman,"Order to the Venetian Doge regarding Ottoman ship seized by the Maltese galleys. Due to the wind, ship anchored at a Venetian island called Kefalonya. Governor of that island then seized the ships and foodstuff inside and killed the Ottoman subjects. Doge is ordered to investigate into this and return the ship, food, etc.",,,1590-03-22,Evas€±t-€± CemaziÌ_‰Ûªl-evvel 998:Evasit,Hijri,Ìàaml€±ca;Kefalonya,corsairs,Venedik Doju,ArchivalObject009, The original Related Person Notes read:(Sender)Porte -,,,genredoc0004
Carte_Turche_05,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 330 Page  11",11,Ottoman,"Order sent to the Venetian Doge regarding ship (karamÌ_rsel) of a certain Mustafa Reis. The ship was captured by four Maltese galleys and anchored at Ìàuka island attached to Venice. Doge is ordered to find that ship and its personnel, passenger and send it to the Porte.",,,1590-02-22,Evas€±t-€± RabiÌ_‰Ûªl-evvel 998:Evasit,Hijri,Koloz;Cuka,corsairs,Venetian Doge,ArchivalObject009,There are some sketches on the Ottoman part as if somebody tried to write in Ottoman. The original Related Person Notes read:(Sender)Porte -(Mentioned)Sayid Muhammed A€Ùa -,,,genredoc0005
Carte_Turche_06,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 330 Page  10",10,Ottoman,"Order sent to the beylerbeyi and de ftedar of Haleb upon the request of the Venetian bailo in €¡stanbul regarding request ofMehmed ÌàavuÙ. Previously Mehmed ÌàavuÙ were granted berat to collect some taxes in Haleb. However, he requested taxes that are against the ahdname and hÌ_km granted to the Venetian merchants. Therefore, the Venetian merchants in Haleb protested saying that they would give up trading in this city if such taxes are requested from them. Kad€± and defterdar are ordered to stop such implementations.",,,1590-02-19,13 RabiÌ_‰Ûªl-ahir 998,Hijri,Haleb,taxes,Haleb Beylerbeyi;Haleb Deftardar€±;Venedik Balyosu,ArchivalObject009,same order was sent to the kad€± of TrablusÙam The original Related Person Notes read:(Addressee)Haleb canibi deftardar€± -(Mentioned)Mustafa Reis -(Sender)Porte -,,,genredoc0006
Carte_Turche_07,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 330 Page  7",7,Ottoman,"Order sent to the kad€± of Haleb regarding the Venetian merchants residing in the city. Kad€± is ordered not to request any tax or fee for wine and arak (hamruarak) when merchants purchased wine, arak, or grapes for their own drinking purposes in accordance with the order given earlier.",,,1590-02-18,13 RabiÌ_‰Ûªl-ahir 998,Hijri,Haleb;Galata,taxes,Haleb Kad€±s€±,ArchivalObject009, The original Related Person Notes read:(Mentioned)Mehmed ÌàavuÙ -(Sender)Porte -,,,genredoc0007
Carte_Turche_08,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 330 Page  6",6,Ottoman,"Order sent to the sancaq bey of Avlonya upon the request of the Venetian bailo in €¡stanbul regarding Avlonya kapudan€± who attacked Venetian territories and merchant ship belonging to the Venetian lords and enslaved Venetian subjects. As it is against the ahdname granted to the Venetians, the sancaq beyi is ordered to investigate this issue and find and free the enslaved Venetians.",,,1590-01-21,Evahir-i RabiÌ_‰Ûªl Evvel 998:Evahir,Hijri,Avlonya;Girid;Ayamavra,ahdname;safety of merchants,Avlonya Sancakbeyi;Venedik balyosu;Venedik beyleri,ArchivalObject009, The original Related Person Notes read:(Mentioned)Mehmed ÌàavuÙ -(Sender)Porte -,,,genredoc0008
Carte_Turche_09,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 330 Page  5",5,Ottoman,"Order sent to the kad€± of €¡zmir (Smyrna) upon the request of Mehmed Halife regarding a Venetian ship that has been detained at €¡zmir harbour. Although there is an order envisaging that foreign ships are to b e inspected in case they carry prohibited items, €±t is claimed that this particular Venetian ship did not have any prohibited items. Kad€± of €¡zmir is ordered to investigate the issue and allow the ship to sail if there is no such item on board.",,,1589-12-10,Sefer 998,Hijri,€¡zmir,commercial disputes,€¡zmir Kad€±s€±,ArchivalObject009, The original Related Person Notes read:Corci Mo(u)mlo -(Mentioned)Leo Nebabolo -(Mentioned)Mihal Kardarda -(Mentioned)Nikolo Kavarvan -(Mentioned)Paulo €¡spalob(ab)da -(Sender)Porte -(Mentioned)Ranubiyu Kavaya -Yanni €¡stati Le(v)Kosti -,,,genredoc0009
Carte_Turche_10,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 330 Page  4",4,Ottoman,"Order sent to the sancaq beys and kad €± s of the administrative regions where Venetian merchants are residing upon the request of the Venetian bailo in €¡ stanbul with regards to taxes, fees and implementation by local berat holders that are against the ahdname granted to the Venetians. Local Ottoman officials are ordered to stop such implementations that are not in line with the ahdname .",,,1590-11-19,Evas€±t-€± Muharrem 998:Evasit,Hijri,,taxes,Memleket-i mahrusamda Venedik bezirganlar€±n€±n sakin oldu€Ùu yerlerin Sancakbeylerine;Kad€±lar€±na;Venedik Balyosu,ArchivalObject009,19-29 date range The original Related Person Notes read:(Mentioned)Mehmed Halife -(Addressee)Memleket-i mahrusamda Venedik bezirganlar€±n€±n sakin oldu€Ùu yerlerin Kad€±lar€±na -(Sender)Porte -,,,genredoc0010
