person_id, event_id, person_name, event_title, event_type, description, start_date, start_date_text, start_date_type, end_date, end_date_text, end_date_type, place, agency, position, notes
Person_001,Event0001,"Agapito, Gabriel","Agapito, Gabriel Birth",Birth,Birth,,,,,,,Cyprus,,,,
Person_001,Event0002,"Agapito, Gabriel","Agapito, Gabriel Raise",Raise,"1641: gdl, annual salary of 60 ducats + 20 ducats & 6 zecchini of raise, 2 outfits",1641-01-01,1641,Gregorian,,,,,,,,
Person_001,Event0003,"Agapito, Gabriel","Agapito, Gabriel citizenship",citizenship,1643: 'veneziano',1643-01-01,1643,Gregorian,,,,,,,,
Person_003,Event0004,"Aggiondrite, Andrea","Aggiondrite, Andrea Birth",Birth,Birth,,,,,,,Modon,,,,
Person_003,Event0005,"Aggiondrite, Andrea","Aggiondrite, Andrea employment end",employment end,,1553-01-01,1553,,,,,,,,,
Person_003,Event0006,"Aggiondrite, Andrea","Aggiondrite, Andrea employment end",employment end,,1553-01-01,1553,,,,,,,,,
Person_003,Event0007,"Aggiondrite, Andrea","Aggiondrite, Andrea Death",Death,Died; son was elected in his place by Prov.r della Cefalonia,,,,,,,,,,,
Person_004,Event0008,"Aggiondrite, Zuanne","Aggiondrite, Zuanne Birth",Birth,Birth,,,,,,,Modon,,,,
Person_004,Event0009,"Aggiondrite, Zuanne","Aggiondrite, Zuanne election",election,"Modoneo, was elected by Prov.r della Cefalonia as interprete della lingua greca in that island instead of mr Andrea suo padre mancato di vita. VS examine case and respond that supplicant doesn't seem to have v thorough command of lng, therefore should be given t job, but 'che egli non debba impedirsi in altri che nella sola semplice interpretatione riportandosi'",,,,,,,,,,,
Person_006,Event0010,"Alberti, Girolamo","Alberti, Girolamo Appointment",Appointment,Appointment,1614-01-01,1614,Gregorian,,,,,,,,"previous bailo's petition for safe conduct for Alberti in Ecnebi Defteri 13, fol. 60, p. 120, #610 [ca. Nov."
Person_006,Event0011,"Alberti, Girolamo","Alberti, Girolamo Birth",Birth,Birth,,,,,,,Venice,,,,
Person_006,Event0012,"Alberti, Girolamo","Alberti, Girolamo employment end",employment end,,1599-01-01,1599,Gregorian,,,,,,,,
Person_006,Event0013,"Alberti, Girolamo","Alberti, Girolamo Employment End",Employment End,,1599-01-01,1599,Gregorian,,,,,,,,
Person_006,Event0014,"Alberti, Girolamo","Alberti, Girolamo Promotion",Promotion,1607: Secretary to Proveditor General in Candia,1607-01-01,1607,Gregorian,,,,,,,,
Person_006,Event0015,"Alberti, Girolamo","Alberti, Girolamo appraisal",appraisal,"Contarini 1583: 248: 'giovane di molto spirito e di molto ingegno, che promette per questo ottima riuscita.'",1583-01-01,1583,Gregorian,,,,,,,,
Person_006,Event0016,"Alberti, Girolamo","Alberti, Girolamo appraisal",appraisal,"1588: skills as gdl praised by bailo Giovanni Moro, joins Alberti's request to be apptd to chancellery, as was done w Marucini, Alessandri, who did not exceed him in performance",1588-01-01,1588,Gregorian,,,,,,,,
Person_006,Event0017,"Alberti, Girolamo","Alberti, Girolamo appraisal",appraisal,"1592: 'intendo, che ha fatto qualche profitto nella lingua Turca, e che ha inclinazione e buona volontà di impararla perfettamente per poter servir l'eccellenze vostre'",1592-01-01,1592,Gregorian,,,,,,,,
Person_008,Event0018,"Alessandri, Vincenzo degli","Alessandri, Vincenzo degli Birth",Birth,Birth,,,,,,,Venice,,,,
Person_008,Event0019,"Alessandri, Vincenzo degli","Alessandri, Vincenzo degli Mission",Mission,"1570 sent on delicate mission to Persian Shah to secure his intervenn against Ottns who burdened [impegnava ven in war of cyprus. after long trip, partially in Ottn terr, reached Persian curt but wasn't even received by Shah. ",1570-01-01,1570,Gregorian,,,,,,,,
Person_008,Event0020,"Alessandri, Vincenzo degli","Alessandri, Vincenzo degli Mission",Mission,"In Ven Alessandri re-entered career in cancelleria, became notaio ordinario & secured office for son 'di quanto potesse in alcun tempo pretendere per la sua andata in Persia.' in 1588 we find him in a mission to Sebenico & Bosnia to discuss border conflicts & o controersies w Pasha. Excused from that duty due to illness, t followg yr A returned to Ven, by senate order, w Bosnian merchants & diplomats. ",1588-01-01,1588,Gregorian,,,,,,,,
Person_008,Event0021,"Alessandri, Vincenzo degli","Alessandri, Vincenzo degli Mission",Mission,in Istanbul 1563-1570. repatriated in 1570 to undertake mission to Persia (relazione: 1574). will escape during war of cyprus dressed as turk.,1563-01-01,1563,Gregorian,1570-01-01,1570,Gregorian,Istanbul,,,,
Person_008,Event0022,"Alessandri, Vincenzo degli","Alessandri, Vincenzo degli Relazione",Relazione,"wrote relazione on Persia read in Senate in 1574, destined to great & notable circuln. Aspro judget on Persian Empire: sovereign & ministers are described 'in preda' to fabulous & primitive barbarity; but if t documentary val of t relazione, as that of t dispacci sent from Persia, is limited, these tests constitute a notable testimony of that mythical portrayal of oriental lands which developed much in t 17th c.",1574-01-01,1574,Gregorian,,,,,,,,
Person_008,Event0023,"Alessandri, Vincenzo degli","Alessandri, Vincenzo degli Study",Study,"Ven diplomat & secretary, mem of ctzn fam. In Istanbul for many yrs in 1566 studyg turkish & servg in cancelleria of Ven bailo. voted special 'notaro estraordinario' by council of 10 but never took t posin. upon return to ct in ",1566-01-01,1566,Gregorian,,,,,,,,
Person_008,Event0024,"Alessandri, Vincenzo degli","Alessandri, Vincenzo degli Petition",Petition,"After February 1595, when he submitted supplica for recompense for his 'fatiche prestate cos"" nel paese turchesco come in altre parti del mondo' we lose track of him.",1595-02-01,2/1/1595,Gregorian,,,,,,,,
Person_008,Event0025,"Alessandri, Vincenzo degli","Alessandri, Vincenzo degli appraisal",appraisal,"1564: (Daniele Barbarigo 1564: 56) 'voglio sperar che debbano riuscir secondo il desiderio di lei, essendo tutti due pronti per fare il debito loro; e credo che presto la se ne potrà servir di messer Vincenzo degli Alessandri per esercitarsi un poco più nel parlare di quello, che fa messer Lodovico Fontana; ma ancor lui non manca di leggere e scrivere.""",1564-01-01,1564,Gregorian,,,,,,,,
Person_009,Event0026,"Ambrosio, Filippo de","Ambrosio, Filippo de Birth",Birth,Birth,,,,,,,Nicosia,,,,
Person_009,Event0027,"Ambrosio, Filippo de","Ambrosio, Filippo de Petition",Petition,"interprete della lingua et scritt.a turcha, al presente in servitio del CL.mo R.to de Cipro, disponendo, che nel anno del 62 essendo sta conduto p[er li CL.mi R.ri de Nicosia p[er suo interprete p[er il Regno de Cipro' 40 duc.ti a yr, father: Ambroso Ceroyco died in service of Ven (fortificationn of Nicosia), left mother w many children. 1567: asks for raise",1567-01-01,1567,Gregorian,,,,,,,,
