term,notes
ahdname,"Use for: ahdname-i hümayun (charter, unilateral treaty)"
aman,
arz,Use for: Arz; arz?; arz-ı hal (petition)
arz mahzar,Use for: arz mahser
atto,(ottoman)
barato,Use for: barat 
berat,"Use for: barat; berât; berât-ı şerif (diploma, patent, sultanic letter of protection, deed of grant)"
biti,(writing)
buiurdi,Use for: Buiurdi 
buyruldu,"Use for: buyuruldu (buyuruldu; lit. ""it has been ordered,"" command, order, often in the name of the imperial)"
capitolazioni,Use for: capitali 
codice,
coggetto,Use for: cozetto 
commandamento,Use for: Commandamento; Commandamento Regio; Sublime Commandamento 
commissione,(book containing a government (colonial/diplomatic) appointee's responsibilities as administrator)
copia,
defter,
deliberazione,
dispaccio,
"divan",Use for: diwan
ducale,(official letters sent from Venice to its representatives in Istanbul)
emr-i şerîf,
fascicolo,
fetfa,
fetva,use for: fatwa (legal opinion)
filza,
filza minuta,
firman,"Use for: ferman (sultanic decree, edict, imperial instructions of various sorts, see Williams 2009: 56)"
firmano,Use for: Firmano; fermano; Fermano 
grazia,
hatt-ı hümayun,
hatt-ı şerîf,Use for: has şerîf 
hüccet,"Use for: Hüccet (writ, legal document)"
hudna,Use for: Hudna
hükm,Use for: Hükm; hüküm; hüm (sultanic decree/written directive/imperial order)
ihbar hücceti,
inventario,
iʿlām,
lettera,Use for: Lettera 
mahzar,Use for: mahser 
mecmua,Use for: Mecmua
mektub,Use for: Mektub (letter)
memoriale,
mürasele,Use for: mürasela; Mürasela; Mürasele; murassele (a letter of rights by kadı)
nişan,"Use for: Nişan (berat, grant, patent)"
nişân-ı şerîf,Use for: nişân-ı şerif (imperial decree)
ordine,Use for: Ordine 
patente,
polizza,(order)
processo,
protocollo,
registro,
relazione,
ricevuta,
risala,Use for: Risala
risposta,
rubrica,
rubrica indice,
salvacondotto,
sceriff,
scrittura,
segno,
segno imperiale,Use for: segno imperial 
sicil,Use for: sicill (court register)
supplica,
suret,Use for: Suret
tahrir,Use for: Tahrir
telhis,Use for: Telhis (grand veziral petition)
temessük,"Use for: Temessük (order, promissory note, receipt, title deed, verification document)"
tereke defteri,(estate registers)
testamento,
tezkire,Use for: Tezkire (memo; record of debt; also: biography)
tuğrâ,(signet)
