term,notes
-zade,
ayan,
bey,
beyzade,(son of a noble; noble; patrician)
cavaliere,
celebi,
çelebi,
celsissimo,
chiarezza,
chiarissima,
cogia,
colendissimo,
colmo,
conte,Use for: count
donna,
eccellentissimo,
eccelso,
efendi,(educated gentleman)
effendi,
emir,(member of the provincial ruling class; plural is ümera)
fedel,
fedelissimo,
glorioso,
hacı,(a person who has gone on the hajj pilgrimage to Mecca)
halife,
han,
haseki sultan,(sultan's favourite; consort)
hatun,(lady; woman of the imperial family; see also: kadın)
hazi,Use for: chazi; hagi; haji
hazreti,(his (your) eminence; to address superiors)
hazretleri,"(his (your) eminence (plural/extra polite), to address superiors)"
hoca,"(teacher, master; [cogia])"
honoratissimo,
honoratissimo et eccellentissimo,
honorato,
ihtiyar,
illustrissimo,
illustrissimo et eccellentissimo,
kadın,(lady; woman of the imperial family; see also: hatun)
kavalir,(Ottoman rendering of Cavalıere)
madonna,Use for: mad.a
magnifico,Use for: mag.co
marchese,
messer,Use for: m.
mevlana,
monsieur,
monsignore,"(honorific used for clergy, e.g. the bailate's chaplain)"
muhasıb,
muhassıl,
mutasarrif,
müteferrika,Use for: mutafferaga
muzaffer daima,(vittorioso sempre)
nobildonna,Use for: N. D.
nobilhuomo,Use for: N. H.
nobile,
nobilissimo,Use for: N.
osservandisimo,
povero et humile devoto,
saiyd,
sapientissimo,
sceriff,
şehzade,Use for: sultan's son; imperial prince
ser,Use for: sr
şerîf,
seyyid,(male descendant of prophet Muhammad)
signore,Use for: signor; sig.
signora,Use for: sig.a
signore colmo,
Sua Altezza,Use for: S. A.
Sua Eccellenza,Use for: S. E.
sublime,
sultan,
sultana,
sultano,
valide sultan,Use for: vâlide sultan (mother of a reigning sultan)
vittorioso sempre,
zaim,(high born persons; holder of ze'amet; plural = züama)
hateme avakbihi bil hayr,((may God) seal his days with goodness-used for high ranking non-muslim (foreign) officials)
zeyyede kudretehü,"(increase his strength, for Ottoman officials)"
zeyyede 'izzetehü,"(increase his dignity/greatness/honour, for Ottoman officials)"
iftihar ül ümera,"(pride of the commanders, for top level officials)"
