term,notes
acemce,,
Albanese,,
Albanian,,
almanca,,
Araba,,
Arabic,,"
"
arapça,,
Armena,,
Armenian,,
arnavutça,,
Bogdana,,
boşnakça,,
Bosnian,,
Bossinese,Use for: Bosinese,
Ebraica,,
eflakça,,
English,,
ermenice,,
farsça,,
Francese,,
fransızca,,
French,,
frenkçe,,
German,,
Greca,,
Greek,,
Hebrew,,
hırvatça,,
Hungarian,,
Illirica,,
Illyrian,,
ingilizce,,
Inglese,,
Italian,,
Italiana,,
italyanca,,
kürtçe,,
Latin,,
Latina,,
latince,,
macarca,,
Mora,,
Moscovita,,
nemçe,,
osmanlıca,,
Ottoman,,
Ottomana,,
Persian,,
Persiana,,
rumça,,
rusça,,
Russa,,
Russian,,
Schiava,,
Serbian,,
Serbo-Croatian,,
Serva,,
sırpça,,
Slavic,,
Tedesca,,
Turca,Use for: Turchesca,
türkçe,,
Turkish,,
Ungherese,,
Venetian,,
Veneziana,,
Vlacca,,
Vlach,,
yahudice,,
yunanca,,
romençe,,
Rumanian,,
