person_id,title,given_name,family_name,name_parts,alt_family_names,alt_given_names,alt_name_parts,professions,gender,nations,languages,positions,events,related_people,notes
Person_001,"Agapito, Gabriel",Agapito,Gabriel,,Agapito;Aggapito;Agappito,Gabriele,,Dragoman,Male,Cipriota,Greek,Position001,"Event0001, Event0002, Event0003",PersonPerson0001,
Person_002,Agapito,,,,,,,Medico,,,,,,,
Person_003,"Aggiondrite, Andrea",Aggiondrite,Andrea,,Agiondrite;Agiondriti;Aggiondriti;Agiondritti;Agiondritte;Aggiondritti,,,Dragoman,Male,Greca,Greek,Position002,"Event0004, Event0005, Event0006, Event0007",PersonPerson0002,
Person_004,"Aggiondrite, Zuanne",Aggiondrite,Zuanne,,Agiondrite;Agiondriti;Aggiondriti;Agiondritti;Agiondritte;Aggiondritti,Zuanne;Giovanni;Gio:;Zuane;Zuan;Giovan;Zovan;Gian;Gianni,,Dragoman,Male,Greca,Greek,Position003,"Event0008, Event0009",PersonPerson0003,
Person_005,"Alberti, Gesparo",Alberti,Gasparo,,,,,,Male,,,,"Event0008, Event0009",,
Person_006,"Alberti, Girolamo",Alberti,Girolamo,,,,,Dragoman,Male,Veneziana,Turkish,Position004,"Event0010, Event0011, Event0012, Event0013, Event0014, Event0015, Event0016, Event0017","PersonPerson0004, PersonPerson0005",#38170
Person_007,"Alberto, Marina",Marina,Alberto,,,,,,Female,,,,"Event0010, Event0011, Event0012, Event0013, Event0014, Event0015, Event0016, Event0017",,
Person_008,"Alessandri, Vincenzo degli",Alessandri,Vincenzo degli,dei,Degli Alessandri;Alessandri,Vincenzo;Vicenzo,delli,Dragoman,Male,Veneziana,Turkish,Position005,"Event0018, Event0019, Event0020, Event0021, Event0022, Event0023, Event0024, Event0025",,Berengo 1960: 174; von Palombini 1968: 93-100; Lucchetta 1989: 23-24
Person_009,"Ambrosio, Filippo de",Ambrosio,Filippo de,di,De Ambrosio;De Ambroggio;De Ambrogio;Ambrosio;Ambrogio;Ambroggio,Filippo;Filipo,de';da,Dragoman,Male,Cipriota,Turkish,Position006,"Event0026, Event0027",PersonPerson0006,same as Filippo Emanuel?
Person_010,"Antonio Ruzzini, Giovanni",Giovanni,Antonio Ruzzini,,,,,,Male,,,Position007,"Event0026, Event0027",,"Dispacci: Archivio di Stato di Venezia, SDC, f. 210, n. 99 (15 dicembre 1764); f. 211, nn. 1-27, 29-63; 9a-b, 45a, 47a (4 July 1764-16 agosto 1766); f. 212, nn. 64-93 (15 settembre 1766-16 March 1768); f. 213, nn. 4-14 (17 ottobre 1767-2 March 1768). Dispaccio del segretario Vincenzo Minotto, f. 212, n. 93a (19 giugno 1768)."
Person_011,"Arimondo, Alvise",Alvise,Arimondo,,,,,,Male,,,Position008,Event0028,,
Person_012,"Arimondo, Pietro",Pietro,Arimondo,,,,,Capitano generale del Golfo,Male,,,Position009,Event0028,,
Person_013,"Armadani, Manoli",Armadani,Manoli,,Armandi;Amandi;Almandi;Armando,Manoli;Manolo,,Dragoman,Male,Greca,Turkish,Position010,"Event0029, Event0030, Event0031, Event0032",,
Person_014,"Ascanio Giustinian, Girolamo",Girolamo,Ascanio Giustinian,,,,,,Male,,,Position011,Event0033,,"Dispacci: Archivio di Stato di Venezia, SDC, f. 212, n. 92 (1 ottobre 1767); f. 213, nn. 1-52, 54 (31 July 1767-17 febbraio 1769); f. 214, nn. 55-90, 92-139; 60a (3 March 1769-5 ottobre 1771); f. 215, nn. 4-8 (17 July -17 agosto 1771)."
Person_015,"Aurelio, Marco",Marco,Aurelio,,,,,Segretario,Male,,,Position012,Event0033,,
Person_016,"Ausonio, Giulio",Ausonio,Giulio,,Ausonio;Aussonio,Giulio,,Dragoman,Male,,Turkish,Position013,"Event0034, Event0035, Event0036",PersonPerson0007,"inventory of possessions on file, numerous books"
Person_017,"Badoer, Alvise",Alvise,Badoer,,,,,,Male,,,Position014,"Event0037, Event0038",,"Dispacci: Archivio di Stato di Venezia, SDC, f. 1A, n. 6 (6 ottobre 1540)."
Person_018,"Badoer, Andrea",Andrea,Badoer,,,,,,Male,,,Position015,Event0039,,"Dispacci: Archivio di Stato di Venezia, SDC, f. 6, nn. 11, 13-16, 18-34, 36, 38-44, 46-59, 61 (5 agosto 1573-26 febbraio 1574); SAPC, reg. 6, cc. 351-384v (copiario, 5 agosto 1573-26 febbraio 1574). * Relazione: Albéri, Le relazioni, III/1, pp. 347-368. Relazione, non letta in Senato, del nh. del suo seguito Costantino Garzoni (1573): Archivio di Stato di Venezia, CR, b. 4; Albéri, Le relazioni, III/1, pp. 369-436."
Person_019,"Balbi, Domenico",Domenico,Balbi,,,,,,Male,,,Position016,Event0040,,
Person_020,"Balsarini, Carlo",Balsarini,Carlo,,Balsarini;Balssarini,Carlo,,Dragoman,Male,Greca,Turkish,Position017,"Event0041, Event0042","PersonPerson0008, PersonPerson0009",
Person_021,"Balsarini, Domenico",Balsarini,Domenico,,Balsarini;Balssarini,Domenico,,Dragoman,Male,Greca,Turkish,Position018,"Event0043, Event0044, Event0045, Event0046","PersonPerson0010, PersonPerson0011",
Person_022,"Balsarini, Giacomo",Balsarini,Giacomo,,Balsarini;Balssarini,Giacomo,,Dragoman,Male,Greca,Turkish,Position019,"Event0047, Event0048","PersonPerson0012, PersonPerson0013",[consul]
Person_023,"Barbarigo, Antonio",Antonio,Barbarigo,,,,,,Male,,,Position020,Event0049,,"Dispacci: Archivio di Stato di Venezia, SDC, f. 1A, nn. 135-136, 140-158, 160-187 (23 ottobre 1556-19 febbraio 1558); f. 2B, nn. 1-17, 19, 21, 23 (6 March -26 settembre 1558).* Relazione: Albéri, Le relazioni, III/3, pp. 145-160 (sommario). Relazione del nh. del suo seguito Nicolò Michiel: Archivio di Stato di Venezia, CR, b. 4; edita nella parte relativa al viaggio da P. Matcovic , Descrizione del viaggio per terra di Costantinopoli e delle cose principali del paese , «Starine», Accademia di Zagabria, Knijga X (1878), pp. 247-256 come scrittura del 1560; Pedani, Relazioni inedite, pp. 87-125."
Person_024,"Barbarigo, Daniele",Daniele,Barbarigo,,,,,,Male,,,Position021,Event0050,,"Dispacci: Archivio di Stato di Venezia, SDC, f. 3C, nn. 54, 59-60, 66-106 (17 maggio 1562-17 febbraio 1563); f. 4D, nn. 1-13, 15-91, 93-95, 104-107, 112 (1 March 1563-29 ottobre 1564).* Relazione: Archivio di Stato di Venezia, CR, b. 1, reg. 2, cc. 56v-80; b. 4; Albéri, Le relazioni, III/2, pp. 1-59. Relazione del segretario Alvise Buonrizzo: Archivio di Stato di Venezia, CR, b. 1 reg. 2, cc. 81v-86; b. 4; Albéri, Le relazioni, III/2, pp. 61-76."
Person_025,"Barbarigo, Nicolò",Nicolò,Barbarigo,,,,,,Male,,,Position022,Event0051,,"Dispacci: Archivio di Stato di Venezia, SDC, f. 11, nn. 45, 54, 55-60, 62-92 (30 settembre 1577-27 febbraio 1578); f. 12, nn. 1-83 (7 March 1578-20 febbraio 1579); f. 13, nn. 1-56 (7 March -2 novembre 1579). Dispacci del segretario Gabriele Cavazza: Archivio di Stato di Venezia, SDC, f. 13, nn. 57-78 (8 novembre 1579-27 febbraio 1580); f. 14, nn. 1-14, 16-19, 21-22 (2 March -2 giugno 1580)."
Person_026,"Barbarigo, Paolo",Paolo,Barbarigo,,,,,,Male,,,Position023,Event0051,,
