term,notes
Aabdine,
Abidin,
Abissinia,
Adana,
Adriatic,
Ahsamil,
Ainos,
Akdeniz,
Akra,
Albania,
Aleppo,
Alessandria,
Alessio,
Alexandria,
Algeri,
Algeria,
Algiers,
Almiya,
Anabolu,"Use for: Anaboli, Anapoli"
Anadolu,
Anatolia,
Anavarin,
Ancona,
Andire,Use for: Andize; Andira; Andiz
Andrinopoli,Use for: Andrianopoli
Andro,
Andros,
Anetolia-Acarnania,
Ankara,Use for: Ancyra
Antivari,
Arnavut,
Aşaflı,
Atalanti,Use for: Talanti
"Athens
",
Atina,
Atteno,
Avlona,
Avlonya,
Ayamavra,Use for: Ayamava; Aymavra; Ayamora
Aydın,
Aydonat,
Baba Mountain,
Baba' Daghi,
Babadence,
Babilonia,
Bagdad,
Bağdad,
Baghdad,
Baknoz,
Ballıbadra,
Balyabadra,
Banaluka,
Bandırma,
Banja,
Banjaluka,
Bar,
Bar adası,
Barast,
Barbary,
Bareç,
Barga,
Batnoz,
Begari,
Beirut,
Belgrad,
Benefşe,
Benekşe,
Beraich,
Berayik,
Bergama Kala,
Bergamo,
Bethlehem,
Beybazari,
Beyoğlu,Use for: Beyoglu
Beyrut,
Beyt'ül-lahm,Use for: Beytü'l-lahm
Bihac,
Bihaç,
Bihke,
Bilachi,
Bilice,
Bir Kıta Korsan,
Biranj,
Boğaz,Use for: Bogaz; Bogazi
Boğazhisar,Use for: Bogaz Hisari
Boğdan,Use for: Bogdan
Boğluca,
Bojana,
Boka,
Borga,
Bosna,
Bosnia,
Bossina,
Botronto,
Boyana,
Bozada,
Bozcaada,
Buchara,
Buda,
Budapest,
Budin,
Budişte,
Budişte sagal,
Budua,
Budun,
Budva,
Bukhara,
Bulak,
Bulgaria,
Burgaz,
Bursa,
Butrinto,
Caffa,Use for: Cafa; Cafà; Caffà
Cairo,
Cambridge,
Çamlıca,
Candia,
Canea,
Capi Daghi,
Capodistria,Use for: Capo d'Istria
Cara Coza,
Carier,
Cassan Kosiče,
Castel Novo,
Casteli,
Çatalca,
Cattaro,
Cefalonia,Use for: Ceffalonia
Cetinje,
Cezair-i Arap,Use for: Cezair-i; Cezair
Chania,
Chios,
Chisca,
Chrise,
Chrisepolidos,
Cipro,
Cista,
Cittanova,
Clissa,
Cologne,
Constantinople,
Corfu,
Corfù,
Costantinopoli,Use for: Constantinopoli
Crete,
Croatia,
Çuka,Use for: Cuka
Cukacı,
Cyprus,
Dalmatia,
Dalya,
Damasco,
Damascus,
Damietta,
Danube,
Daure,
Değirmenlik,
Delvine,Use for: Devine
Delvinë,
Demantova,
Dimyat,
Dıraç,Use for: Dirac; Draç; Drac
Dobravenedik,
Dovare,Use for: Dovre
Dubrovnik,
Dukagijn,Use for: Dukagin; Dukakin
Dukagin; Dukakin,
Dulcigno,
Dumnu,
Durazzo,
Durrës,
Edirne,
Edirne Kapı,Use for: Edirnekapu
Eflak,
Eğriboz,Use for: Agriboz
Egypt,
El-kahire,
Elbasan,Use for: Elbasan; İlbasab; İlbasan
Elbistan,
Enez,
Epsare,
Ergir,Use for: Ergiri
Erila,
Ersech,
Erzurum,
Espilet,
Ethiopia,Use for: Abyssinia
Euboea,
Fakusa,
Famagosta,
Famagusta,
Fener,
Feodosia,Use for: Feodosiya; Theodosia
Ferrara,
Filibe,
Foça,
Focaea,
Foto,
France,
Francia,
Frengistan,
Galata,
Gallipoli,Use for: Galipoli
Galunbak,
Geleb,
Gelibolu,Use for: Galibolu
Gerusalemme,
Girit,Use for: Girid
Gjirokastër,
Golfo,
Golfo di Venezia,
Golos,
Greece,
Guruş,Use for: Gurus
Habeş,Use for: Habeşistan
Hakala,
Halep,Use for: Haleb; Halen; Halab
Hama,
Hanya,
Heraklion,
Herastavic,
Herceg Novi,
Hersek,
Herzegovina,
Hindistan,
Hungary,
Hvar,
Iasi,
Idin,
igarb,
India,
Ine,
İnebahtı,
İnöz,Use for: Inoz
Ioannina,
Ipsala,
İsa,
Isami,
İşem,
Isfahan,Use for: Esfahan
Ishakca,
Ishëm,
İskender Begari,
İskenderiye,Use for: Iskenderiye
İskenderun,
Iskıradin,Use for: İskıradin; İskradin
İşkoder,
İspalat,
İspalin,
İspanya,
İspelyar,
Ispolin,
Istanbul,
İstanbul,
Istefan,
İstendil,
Istindir,
Istok in Kossovo,
İstokoro,
Istria,
Izmir,
İzmir,
Iztinye,
İzvornik,
