term,notes
abate,(abbot)
admiral,
admiral grande,
agà,Use for: aga; agha 
ağa,
ak ağa,
ak hadım,
akıncı,
alaj bei,
allabardier,
alay beyi,
ambasciatore,
ambasciatore straordinario,
arabacı,
arcivescovo,
Arcivescovo di Filadelfia,
arpa emini,
aşçi,
at oğlan,Use for: seyis 
avcı,
avvocato,Use for: avvogado; avogado; avocato; avvogador; avogador; avvogadore; avogadore 
ayan,
azab,
azab ağası,
bailo,
baltacı,
baltacı başı,
baylo,Use for: balyos 
barbier,
baş defterdarı,
baş tercüman,(Ottoman Grand Dragoman)
başçavuş,
başmimar,
bayraktar,
bey,Use for: beg; bei; beğ; begh 
beylerbey,Use for: berlerbey; beglerbeg; beglerbey; beylerbeg; beğlerbeğ 
beytülmalcı,
beyzade,(noble; son of a noble; patrician)
bölük başı,
bölükler ağası,
bostancı,
bostancı başı,
bostangi,
bostangi bassi,
cadi,(this is Venetian for Kadi- do not confuse with Turkish cadı-witch)
cadileschier,
caimecam,Use for: caimecan; caimeca; kaimecan; kaimecano 
çakırcı,
çakırcı başı,
çamaşırcı,
camerlengo,Use for: camerlingo 
cancellier grande,
cancelliere,Use for: conzellier 
cancelliere podestarile,(official notary of a podestà)
capellan,(chaplain (eg in bailate))
capigi,
capigi bassi,
capitan bassà,
capitano,Use for: capitan 
capitano generale,
capo ,
carazaro,
cardinale,
çaşnigir,Use for: çeşnegir ((royal) taste tester)
çaşnigir başı,
castellano,Use for: castellan 
cattaver,
çavuş,Use for: cavus 
çavuş başı,
cebeci,
cebeci başı,
ceneral,
cerrah,
cerrah başı,
chiaia,Use for: chiecaia; checaia; chiaià 
chiaia bei,
chiaus,Use for: chiauss; chiaussi 
chirurgo,(surgeon)
chislar agà,(see also: eunuco nero)
çiftçi,
çırak,
coadiutore,
cogia,Use for: coza; coggia; cozza (see also: maestro di giovani di lingua)
comandante delle galee pontificie,
comissario,
console,Use for: consolo 
conte,
çorbacı,
çuhadar ağası,
çuhadar,
darphane emini,
datiaro,
dayı,
defterdar,
dellal,
deputato,
deputato ad audir li negotij,
deveci,
dizdar,
doğancı,
doge,
doju,
dökücü,
dragomanno,Use for: dragomano; dragoman (generic title)
dragomanno consolare,"(dragoman attached to a consulate in a port city in the Ottoman Empire, e.g. Alexandria, Aleppo, Izmir)"
dragomanno da strada,Use for: dragomanno di strada (Road Dragoman in charge of accompanying Venetian diplomatic representatives to and from Istanbul)
