term,notes
accountant,Use for: coadiutore; muhasib
apothecary,
architect,Use for: mimar
armourer,Use for: cebeci
astrologer/astronomer,Use for: müneccim
lawyer,Use for: avvogado
baker,"Use for: fornaio; fırıncı, habbaz"
barber,Use for: barbiere; barbier
broker,"Use for: sensale; simsar"
butcher,Use for: kassab
calligrapher,Use for: hattat
civil administrator,Use for: memur
chaplain,Use for: capellan; capellano
clergy,Use for: clerico; ülema (muslim); ruhban (Christian)
cook,Use for: cuoco
copyist,Use for: müstensih
diplomat,Use for: elçi
dragoman,Use for: Dragomano; Dragomano della lingua Turca; tercüman
falconer,Use for: şahinci
farmer,Use for: çiftçi
herbalist,Use for: speciale; speziale
gardener,Use for: bahçevan
governess,Use for: mürebbiye; dadı
illuminator,Use for: müzehhip
interpreter,Use for: interprete
judge,Use for: giudice; hakim; kadi
linguist,
merchant,Use for: mercante; tacir; bazirgan
military,Use for: askeri
monk,Use for: keşiş
notary,Use for: notaio; nodaro; nodario; nodaio
nun,Use for: rahibe
physician,Use for: medico; dottore fisico
postman,Use for: portalettere; sa'i; sayi; portaliçe
pupil,Use for: şagird
scholar,Use for: studioso; çelebi
secretary,Use for: segretario; katib
servant,Use for: servitore; domestico; hadim; hademe
soldier,Use for: soldato; asker
surgeon,Use for: chirurgo; cerrah
taster,Use for: çaşnigir
tax collector,Use for: tahsildar
teacher,Use for: maestro; hoca; coggia; müderris; muallim
translator,Use for: tercüman; dragomano
